Session,Date,Period,Movement,Distance,Duration,Passengers,Earnings,Tips,Cancel,Shared,TrueShared,Conversation,Origin,Goal,RatingConversation,RatingRoute,RatingComfortability,DOW,Month,StartTime,PickupTime,EndTime,TimeLabel,StartLocation,StartGas,EndGas,GasUsage,Wage,RatingSum,RatingMean
1,2019-06-19T00:00:00Z,Search,Idle,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,17.616666666666667,NA,17.683333333333334,Other,La Jolla Shores,6.4,6.4,0,NA,NA,NA
1,2019-06-19T00:00:00Z,Drive,Drive,4.78,15,2,6.49,0,FALSE,TRUE,0,FALSE,Social,Home,NA,NA,NA,3,6,17.683333333333334,17.766666666666666,18.016666666666666,Other,La Jolla Shores,6.4,6.8,0.39999999999999947,25.96,NA,NA
1,2019-06-19T00:00:00Z,Search,Inference,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,18.016666666666666,NA,18.033333333333335,Other,Eastgate,6.8,6.9,0.10000000000000053,NA,NA,NA
1,2019-06-19T00:00:00Z,Drive,Drive,1.32,7.8,1,3,0,FALSE,TRUE,0,FALSE,Work,Food,NA,NA,NA,3,6,18.033333333333335,18.116666666666667,18.266666666666666,EveningCommute,Eastgate,6.9,7.1,0.1999999999999993,23.076923076923077,NA,NA
1,2019-06-19T00:00:00Z,Search,Inference,0.25,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,18.266666666666666,NA,18.4,Other,UTC,7.1,7.1,0,NA,NA,NA
1,2019-06-19T00:00:00Z,Drive,Drive,1.81,5.5,1,3,1,FALSE,TRUE,0,TRUE,Home,Social,NA,NA,NA,3,6,18.4,18.466666666666665,18.55,Other,UTC,7.1,7.22,0.1200000000000001,43.63636363636363,NA,NA
1,2019-06-19T00:00:00Z,Return,Home,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,18.55,NA,18.6,Other,La Jolla Village,7.22,7.3,0.08000000000000007,NA,NA,NA
2,2019-06-20T00:00:00Z,Search,Idle,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,13.633333333333333,NA,13.7,Other,UCSD,7.58,7.58,0,NA,NA,NA
2,2019-06-20T00:00:00Z,Drive,Drive,2.66,8.72,2,3.7,2,FALSE,FALSE,0,TRUE,Leisure,Leisure,NA,NA,NA,4,6,13.7,13.75,13.9,Other,Scripps,7.58,7.81,0.22999999999999954,39.220183486238525,NA,NA
2,2019-06-20T00:00:00Z,Search,Inference,3.8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,13.9,NA,14.316666666666666,Other,La Jolla,7.81,7.98,0.17000000000000082,NA,NA,NA
2,2019-06-20T00:00:00Z,Drive,Drive,10.65,22.37,1,11.98,0,FALSE,TRUE,0,TRUE,Work,Home,NA,NA,NA,4,6,14.316666666666666,14.4,14.766666666666667,AfternoonCommute,Bird Rock,7.98,8.52,0.5399999999999991,32.13232007152436,NA,NA
2,2019-06-20T00:00:00Z,Search,Inference,0.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,14.766666666666667,NA,14.9,Other,Eastgate,8.52,8.58,0.0600000000000005,NA,NA,NA
2,2019-06-20T00:00:00Z,Drive,Drive,1.7,4.7,1,4.25,0,FALSE,TRUE,0,FALSE,Work,Home,NA,NA,NA,4,6,14.9,15.033333333333333,15.1,AfternoonCommute,Eastgate,8.58,8.77,0.1899999999999995,54.25531914893617,NA,NA
2,2019-06-20T00:00:00Z,Search,None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,15.1,NA,15.1,Other,Eastgate,8.77,8.77,0,NA,NA,NA
2,2019-06-20T00:00:00Z,Drive,Drive,14.59,35.57,1,17.53,0,FALSE,FALSE,0,FALSE,Work,Home,NA,NA,NA,4,6,15.1,15.183333333333334,15.766666666666667,EveningCommute,Eastgate,8.77,9.44,0.6699999999999999,29.569862243463596,NA,NA
