Session,Date,,Period,Movement,Start Time,Start Gas,Start Location,Pickup Time,End Time,End Gas,Distance,Duration,Passengers,Earnings,Tips,Cancel,Shared,TrueShared,Conversation,Origin,Goal,RatingConversation,RatingRoute,RatingComfortability
1,6/19/2019,,Search,Idle,5:37:00 PM,6.40,La Jolla Shores,,5:41:00 PM,6.40,0.00,4.00,,,,,,,,,,,,
1,6/19/2019,,Drive,Drive,5:41:00 PM,6.40,La Jolla Shores,5:46:00 PM,6:01:00 PM,6.80,4.78,15.00,2,$6.49,$0.00,0,1,0,0,Social,Home,,,
1,6/19/2019,,Search,Inference,6:01:00 PM,6.80,Eastgate,,6:02:00 PM,6.90,0.10,1.00,,,,,,,,,,,,
1,6/19/2019,,Drive,Drive,6:02:00 PM,6.90,Eastgate,6:07:00 PM,6:16:00 PM,7.10,1.32,7.80,1,$3.00,$0.00,0,1,0,0,Work,Food,,,
1,6/19/2019,,Search,Inference,6:16:00 PM,7.10,UTC,,6:24:00 PM,7.10,0.25,8.00,,,,,,,,,,,,
1,6/19/2019,,Drive,Drive,6:24:00 PM,7.10,UTC,6:28:00 PM,6:33:00 PM,7.22,1.81,5.50,1,$3.00,$1.00,0,1,0,1,Home,Social,,,
1,6/19/2019,,Return,Home,6:33:00 PM,7.22,La Jolla Village,,6:36:00 PM,7.30,1.10,3.00,,,,,,,,,,,,
2,6/20/2019,,Search,Idle,1:38:00 PM,7.58,UCSD,,1:42:00 PM,7.58,0.00,4.00,,,,,,,,,,,,
2,6/20/2019,,Drive,Drive,1:42:00 PM,7.58,Scripps,1:45:00 PM,1:54:00 PM,7.81,2.66,8.72,2,$3.70,$2.00,0,0,0,1,Leisure,Leisure,,,
2,6/20/2019,,Search,Inference,1:54:00 PM,7.81,La Jolla,,2:19:00 PM,7.98,3.80,25.00,,,,,,,,,,,,
2,6/20/2019,,Drive,Drive,2:19:00 PM,7.98,Bird Rock,2:24:00 PM,2:46:00 PM,8.52,10.65,22.37,1,$11.98,$0.00,0,1,0,1,Work,Home,,,
2,6/20/2019,,Search,Inference,2:46:00 PM,8.52,Eastgate,,2:54:00 PM,8.58,0.50,8.00,,,,,,,,,,,,
